#Fichier contenant sur chaque ligne : Latitude en degré, Longitude en degré, Altitude en mètre, Temps en secondes, Cap en degré
43.103699999999996,5.948499999999999,0.0,0.0,110.0
43.103678185502716,5.948584715628554,1.0,1.0,109.98
43.103657612327176,5.948670011835349,2.0,2.0,109.96
43.103638288703635,5.9487558545030375,3.0,3.0,109.94
43.10362022236247,5.948842209295699,4.0,4.0,109.92
43.103603420531094,5.948929041672567,5.0,5.0,109.9
43.10358788993106,5.949016316901847,6.0,6.0,109.88
43.10357363677537,5.949104000074614,7.0,7.0,109.86
43.103560666765986,5.949192056118766,8.0,8.0,109.84
43.10354898509155,5.949280449813059,9.0,9.0,109.82
43.10353859642533,5.949369145801194,10.0,10.0,109.8
43.1035295049233,5.949458108605961,11.0,11.0,109.78
43.10352171422254,5.9495473026434205,12.0,12.0,109.76
43.10351522743969,5.949636692237149,13.0,13.0,109.74
43.10351004716983,5.9497262416325,14.0,14.0,109.72
43.1035061754853,5.949815915010911,15.0,15.0,109.7
43.103503613934976,5.949905676504222,16.0,16.0,109.68
43.103502363543626,5.949995490209037,17.0,17.0,109.66
43.10350242481146,5.950085320201071,18.0,18.0,109.64
43.103503797713955,5.950175130549522,19.0,19.0,109.62
43.103506481701885,5.95026488533145,20.0,20.0,109.6
43.10351047570153,5.95035454864614,21.0,21.0,109.58
43.10351577811508,5.95044408462946,22.0,22.0,109.56
43.10352238682131,5.95053345746821,23.0,23.0,109.54
43.103530299176384,5.950622631414448,24.0,24.0,109.52
43.10353951201498,5.9507115707997835,25.0,25.0,109.5
43.10355002165149,5.950800240049648,26.0,26.0,109.48
43.10356182388154,5.950888603697524,27.0,27.0,109.46
43.10357491398363,5.950976626399131,28.0,28.0,109.44
43.10358928672108,5.951064272946562,29.0,29.0,109.42
43.103604936344105,5.951151508282364,30.0,30.0,109.4
43.103621856592056,5.95123829751357,31.0,31.0,109.38
43.10364004069603,5.951324605925643,32.0,32.0,109.36
43.10365948138149,5.951410398996367,33.0,33.0,109.34
43.10368017087125,5.951495642409659,34.0,34.0,109.32
43.103702100888505,5.951580302069291,35.0,35.0,109.3
43.10372526266022,5.951664344112528,36.0,36.0,109.28
43.103749646920605,5.951747734923672,37.0,37.0,109.26
43.103775243914825,5.951830441147511,38.0,38.0,109.24
43.10380204340291,5.951912429702658,39.0,39.0,109.22
43.10383003466385,5.951993667794786,40.0,40.0,109.2
43.103859206499884,5.952074122929738,41.0,41.0,109.18
43.103889547240996,5.952153762926534,42.0,42.0,109.16
43.10392104474955,5.952232555930238,43.0,43.0,109.14
43.1039536864252,5.9523104704247,44.0,44.0,109.12
43.10398648009525,5.952388266810365,45.0,45.0,60.0
43.104019273747724,5.95246606319603,46.0,46.0,60.0
43.10405206738263,5.952543859581696,47.0,47.0,60.0
43.10408486099998,5.952621655967362,48.0,48.0,60.0
43.104117654599754,5.952699452353027,49.0,49.0,60.0
43.10415044818197,5.952777248738692,50.0,50.0,60.0
43.10418324174661,5.952855045124358,51.0,51.0,60.0
43.104216035293696,5.952932841510023,52.0,52.0,60.0
43.1042488288232,5.95301063789569,53.0,53.0,60.0
43.104281622335144,5.953088434281354,54.0,54.0,60.0
43.10431441582952,5.95316623066702,55.0,55.0,60.0
43.104347209306326,5.953244027052686,56.0,56.0,60.0
43.104380002765566,5.95332182343835,57.0,57.0,60.0
43.10441279620725,5.953399619824017,58.0,58.0,60.0
