#Fichier contenant sur chaque ligne : Latitude en degré, Longitude en degré, Altitude en mètre, Temps en secondes, Cap en degré
43.103699999999996,5.948499999999999,0.0,0.0,80.0
43.103711389171266,5.948588466785645,1.0,0.0,80.0
43.10372277834042,5.9486769335712895,2.0,0.0,80.0
43.103734167507454,5.948765400356934,3.0,0.0,80.0
43.103745556672365,5.94885386714258,4.0,0.0,80.0
43.10375694583516,5.9489423339282235,5.0,0.0,80.0
43.10376833499584,5.949030800713869,6.0,0.0,80.0
43.1037797241544,5.9491192674995155,7.0,0.0,80.0
43.10379111331084,5.94920773428516,8.0,0.0,80.0
43.10380250246516,5.949296201070805,9.0,0.0,80.0
43.10381389161736,5.9493846678564495,10.0,0.0,80.0
43.10382528076744,5.949473134642095,11.0,0.0,80.0
43.10383666991541,5.94956160142774,12.0,0.0,80.0
43.10384805906126,5.949650068213385,13.0,0.0,80.0
43.10385944820498,5.94973853499903,14.0,0.0,80.0
43.103870837346584,5.949827001784675,15.0,0.0,80.0
43.10388222648607,5.949915468570319,16.0,0.0,80.0
43.10389361562345,5.950003935355965,17.0,0.0,80.0
43.1039050047587,5.9500924021416095,18.0,0.0,80.0
43.10391639389183,5.950180868927255,19.0,0.0,80.0
43.10392778302284,5.950269335712901,20.0,0.0,80.0
43.10393917215174,5.950357802498545,21.0,0.0,80.0
43.103950561278516,5.95044626928419,22.0,0.0,80.0
43.10396195040316,5.950534736069835,23.0,0.0,80.0
43.10397333952571,5.950623202855481,24.0,0.0,80.0
43.103984728646125,5.950711669641125,25.0,0.0,80.0
43.10399611776443,5.95080013642677,26.0,0.0,80.0
43.10400750688061,5.950888603212415,27.0,0.0,80.0
43.10401889599467,5.95097706999806,28.0,0.0,80.0
43.10403028510661,5.951065536783705,29.0,0.0,80.0
43.10404167421645,5.951154003569351,30.0,0.0,80.0
43.10405306332415,5.951242470354996,31.0,0.0,80.0
43.10406445242973,5.95133093714064,32.0,0.0,80.0
43.1040758415332,5.951419403926285,33.0,0.0,80.0
43.104087230634555,5.95150787071193,34.0,0.0,80.0
43.10409861973379,5.951596337497575,35.0,0.0,80.0
43.1041100088309,5.951684804283221,36.0,0.0,80.0
43.10412139792589,5.951773271068866,37.0,0.0,80.0
43.10413278701876,5.95186173785451,38.0,0.0,80.0
43.10414417610952,5.951950204640156,39.0,0.0,80.0
43.104155565198155,5.9520386714258,40.0,0.0,80.0
43.10416695428468,5.952127138211446,41.0,0.0,80.0
43.10417834336908,5.9522156049970905,42.0,0.0,80.0
43.10418973245137,5.952304071782736,43.0,0.0,80.0
43.10420112153152,5.952392538568381,44.0,0.0,80.0
43.104212510609564,5.952481005354025,45.0,0.0,80.0
43.104223899685486,5.95256947213967,46.0,0.0,80.0
43.1042352887593,5.9526579389253165,47.0,0.0,80.0
43.104246677830986,5.95274640571096,48.0,0.0,80.0
43.10425806690055,5.952834872496606,49.0,0.0,80.0
43.104269455967994,5.952923339282251,50.0,0.0,80.0
43.10428084503332,5.953011806067895,51.0,0.0,80.0
43.10429223409653,5.953100272853541,52.0,0.0,80.0
43.104303623157634,5.953188739639186,53.0,0.0,80.0
43.1043150122166,5.953277206424831,54.0,0.0,80.0
43.104326401273454,5.953365673210476,55.0,0.0,80.0
43.104337790328195,5.953454139996121,56.0,0.0,80.0
43.10434917938081,5.953542606781766,57.0,0.0,80.0
43.10436056843131,5.953631073567411,58.0,0.0,80.0
43.10437195747969,5.953719540353056,59.0,0.0,80.0
43.10438334652595,5.953808007138702,60.0,0.0,80.0
