#Fichier contenant sur chaque ligne : Latitude en degré, Longitude en degré, Altitude en mètre, Temps en secondes, Cap en degré
43.103699999999996,5.948499999999999,0.0,0.0,110.0
43.103601735486855,5.94892836308292,5.0,5.0,109.99642857142857
43.103531749844386,5.949367020597203,10.0,10.0,109.99285714285715
43.103490600720995,5.949812477914508,15.0,15.0,109.98928571428571
43.10347861599542,5.950261186234882,20.0,20.0,109.98571428571428
43.103495891162815,5.950709570858788,25.0,25.0,109.98214285714286
43.10354228857343,5.9511540596654635,30.0,30.0,109.97857142857143
43.10361743852998,5.951591111570735,35.0,35.0,109.975
43.103720742235005,5.952017244737577,40.0,40.0,109.97142857142858
43.10385137656455,5.952429064314669,45.0,45.0,109.96785714285714
43.104008300630234,5.952823289481963,50.0,50.0,109.96428571428571
43.104190264077026,5.953196779587821,55.0,55.0,109.96071428571429
43.10439581705064,5.953546559169456,60.0,60.0,109.95714285714286
43.104623321754914,5.953869841657393,65.0,65.0,109.95357142857142
43.10487096550677,5.9541640515750744,70.0,70.0,109.95
43.10513677518474,5.954426845056768,75.0,75.0,109.94642857142857
43.10541863295543,5.954656128520308,80.0,80.0,109.94285714285714
43.10571429315262,5.954850075345917,85.0,85.0,109.93928571428572
43.10602140017427,5.955007140428243,90.0,90.0,109.93571428571428
43.10633750725453,5.955126072485661,95.0,95.0,109.93214285714286
43.10666009596112,5.955205924028783,100.0,100.0,109.92857142857143
43.10698659626262,5.955246058908777,105.0,105.0,109.925
43.10731440700562,5.955246157385336,110.0,110.0,109.92142857142858
43.107640916638445,5.955206218673929,115.0,115.0,109.91785714285714
43.10796352401652,5.9551265609520625,120.0,120.0,109.91428571428571
43.108279659123426,5.955007818824463,125.0,125.0,109.91071428571429
43.10858680354269,5.954850938267413,130.0,130.0,109.90714285714286
43.10888251051734,5.954657169092491,135.0,135.0,109.90357142857142
43.109164424437445,5.954428054989771,140.0,140.0,109.9
43.10943029960065,5.954165421229791,145.0,145.0,109.89642857142857
43.109678018096325,5.953871360122272,150.0,150.0,109.89285714285714
43.109905606671155,5.9535482143474265,155.0,155.0,109.88928571428572
43.11011125244197,5.95319855829267,160.0,160.0,109.88571428571429
43.1102933173309,5.9528251775433825,165.0,165.0,109.88214285714285
43.110450351108064,5.952431046691142,170.0,170.0,109.87857142857143
43.110581102938205,5.95201930563622,175.0,175.0,109.875
43.110684531339324,5.9515932345730995,180.0,180.0,109.87142857142857
43.11075981247437,5.951156227858346,185.0,185.0,109.86785714285715
43.11080634671003,5.9507117669689675,190.0,190.0,109.86428571428571
