#Fichier contenant sur chaque ligne : Latitude en degré, Longitude en degré, Altitude en mètre, Temps en secondes, Cap en degré
43.103699999999996,5.948499999999999,0,0.0,80.0
43.103711389171266,5.948588466785645,2.0,2.0,80.0
43.10372277834042,5.9486769335712895,3.0,3.0,80.0
43.1037795788462,5.948632017807084,5.0,5.0,330.0
43.103836379299295,5.948587102042877,6.0,6.0,330.0
43.1038477684452,5.948675568828523,8.0,8.0,80.0
43.10385915758897,5.9487640356141664,9.0,9.0,80.0
43.103915957968226,5.948719119849961,11.0,11.0,330.0
43.10397275829478,5.948674204085755,12.0,12.0,330.0
43.103984147415304,5.9487626708714,14.0,14.0,80.0
43.103995536533716,5.948851137657045,15.0,15.0,80.0
43.10405233678644,5.948806221892839,17.0,17.0,330.0
43.10410913698645,5.948761306128633,18.0,18.0,330.0
43.1041205260816,5.948849772914278,20.0,20.0,80.0
43.10413191517464,5.948938239699922,21.0,21.0,80.0
43.10418871530082,5.9488933239357165,23.0,23.0,330.0
43.1042455153743,5.94884840817151,24.0,24.0,330.0
43.104256904444085,5.948936874957155,26.0,26.0,80.0
43.10426829351175,5.949025341742799,27.0,27.0,80.0
43.104325093511406,5.9489804259785934,29.0,29.0,330.0
43.104381893458346,5.948935510214388,30.0,30.0,330.0
43.104393282502755,5.949023977000033,32.0,32.0,80.0
43.10440467154505,5.949112443785678,33.0,33.0,80.0
43.10446147141817,5.949067528021472,35.0,35.0,330.0
43.10451827123858,5.949022612257266,36.0,36.0,330.0
43.104529660257626,5.949111079042911,38.0,38.0,80.0
43.10454104927454,5.949199545828555,39.0,39.0,80.0
43.10459784902112,5.949154630064349,41.0,41.0,330.0
43.10465464871499,5.9491097143001435,42.0,42.0,330.0
43.10466603770866,5.949198181085788,44.0,44.0,80.0
43.10467742670021,5.949286647871433,45.0,45.0,80.0
43.104734226320254,5.949241732107227,47.0,47.0,330.0
43.10479102588759,5.949196816343021,48.0,48.0,330.0
43.10480241485589,5.949285283128667,50.0,50.0,80.0
43.10481380382207,5.949373749914311,51.0,51.0,80.0
43.10487060331558,5.949328834150105,53.0,53.0,330.0
43.10492740275638,5.949283918385899,54.0,54.0,330.0
43.104938791699304,5.949372385171544,56.0,56.0,80.0
43.10495018064011,5.949460851957188,57.0,57.0,80.0
43.10500698000708,5.949415936192982,59.0,59.0,330.0
43.105063779321355,5.949371020428776,60.0,60.0,330.0
